//Address	bits	rw	Name	att_bits	att_enc	bin_enc	
0002	0	R/W	CDR_SWAP_MODE_EN	0	0-1	0-1	
0003	15:11	R/W	RXBUFRESET_TIME	4:0	0-31	0-31	
0003	10	R/W	CFOK_PWRSVE_EN	0	0-1	0-1	
0003	9	R/W	EYE_SCAN_SWAP_EN	0	0-1	0-1	
0003	8:5	R/W	RX_DATA_WIDTH	3:0	16	2	
					20	3	
							
							
							
0003	8:5	R/W	RX_DATA_WIDTH	3:0	32	4	
					40	5	
					64	6	
					80	7	
					128	8	
					160	9	
							
							
0003	4:0	R/W	RXCDRFREQRESET_TIME	4:0	0-31	0-31	
0004	15:11	R/W	RXCDRPHRESET_TIME	4:0	0-31	0-31	
0004	10:8	R/W	PCI3_RX_ELECIDLE_H2L_DISABLE	2:0	0-7	0-7	
0004	7:1	R/W	RXDFELPMRESET_TIME	6:0	0-127	0-127	
0004	0	R/W	RX_FABINT_USRCLK_FLOP	0	0-1	0-1	
0005	15:11	R/W	RXPMARESET_TIME	4:0	0-31	0-31	
0005	10	R/W	PCI3_RX_ELECIDLE_LP4_DISABLE	0	0-1	0-1	
0005	8	R/W	PCI3_RX_FIFO_DISABLE	0	0-1	0-1	
0005	9	R/W	PCI3_RX_ELECIDLE_EI2_ENABLE	0	0-1	0-1	
0005	7:3	R/W	RXPCSRESET_TIME	4:0	0-31	0-31	
							
0005	2:0	R/W	RXELECIDLE_CFG	2:0	SIGCFG_1	0	
					SIGCFG_2	1	
					SIGCFG_3	2	
					SIGCFG_4	3	
					SIGCFG_6	4	
					SIGCFG_8	5	
					SIGCFG_12	6	
					SIGCFG_16	7	
							
							
0006	15:0	R/W	RXDFE_HB_CFG1	15:0	0-65535	0-65535	
0009	15:11	R/W	TXPMARESET_TIME	4:0	0-31	0-31	
0009	7:3	R/W	TXPCSRESET_TIME	4:0	0-31	0-31	
0009	10	R/W	RX_PMA_POWER_SAVE	0	0-1	0-1	
0009	9	R/W	TX_PMA_POWER_SAVE	0	0-1	0-1	
0009	8	R/W	SRSTMODE	0	0-1	0-1	
000A	3	R/W	TX_FIFO_BYP_EN	0	0-1	0-1	
000B	4	R/W	TX_FABINT_USRCLK_FLOP	0	0-1	0-1	
000B	9:8	R/W	RXPMACLK_SEL	1:0	CROSSING	2	
					DATA	0	
					EYESCAN	1	
							
							
							
000C	11:10	R/W	TX_PROGCLK_SEL	1:0	POSTPI	0	
					PREPI	1	
					CPLL	2	
							
							
000C	9:5	R/W	RXISCANRESET_TIME	4:0	0-31	0-31	
000D	7:2	R/W	TXAMONSEL	5:0	0-63	0-63	
000D	1:0	R/W	BLOCKSEL	1:0	0-3	0-3	
000E	15:0	R/W	RXCDR_CFG0	15:0	0-65535	0-65535	
000F	15:0	R/W	RXCDR_CFG1	15:0	0-65535	0-65535	
0010	15:0	R/W	RXCDR_CFG2	15:0	0-65535	0-65535	
0011	15:0	R/W	RXCDR_CFG3	15:0	0-65535	0-65535	
0011	7	R/W	SELCKOK	0	0-1	0-1	
0012	15:0	R/W	RXCDR_CFG4	15:0	0-65535	0-65535	
0013	15:0	R/W	CPLL_LOCK_CFG	15:0	0-65535	0-65535	
0014	15:12	R/W	CHAN_BOND_MAX_SKEW	3:0	1-14	1-14	
							
0014	11:10	R/W	CHAN_BOND_SEQ_LEN	1:0	1	0	
					2	1	
					3	2	
					4	3	
							
							
0014	9:0	R/W	CHAN_BOND_SEQ_1_1	9:0	0-1023	0-1023	
0015	15:10	R/W	PCI3_RX_ELECIDLE_HI_COUNT	5:0	0-63	0-63	
0015	9:0	R/W	CHAN_BOND_SEQ_1_3	9:0	0-1023	0-1023	
0016	15:10	R/W	PCI3_RX_ELECIDLE_H2L_COUNT	5:0	0-63	0-63	
0016	9:0	R/W	CHAN_BOND_SEQ_1_4	9:0	0-1023	0-1023	
0017	15:10	R/W	RX_BUFFER_CFG	5:0	0-63	0-63	
0017	9	R/W	RX_DEFER_RESET_BUF_EN	0	FALSE	0	
					TRUE	1	
							
							
0017	8:7	R/W	OOBDIVCTL	1:0	0-3	0-3	
							
0017	6:5	R/W	PCI3_AUTO_REALIGN	1:0	FRST_SMPL	0	
					OVR_8_BLK	1	
					OVR_64_BLK	2	
					OVR_1K_BLK	3	
							
							
0017	4	R/W	PCI3_PIPE_RX_ELECIDLE	0	0-1	0-1	
0018	15:12	R/W	CHAN_BOND_SEQ_1_ENABLE	3:0	0-15	0-15	
0018	11:10	R/W	PCI3_RX_ASYNC_EBUF_BYPASS	1:0	0-3	0-3	
0018	9:0	R/W	CHAN_BOND_SEQ_2_1	9:0	0-1023	0-1023	
0019	9:0	R/W	CHAN_BOND_SEQ_2_2	9:0	0-1023	0-1023	
001A	9:0	R/W	CHAN_BOND_SEQ_2_3	9:0	0-1023	0-1023	
001B	9:0	R/W	CHAN_BOND_SEQ_2_4	9:0	0-1023	0-1023	
001C	15:12	R/W	CHAN_BOND_SEQ_2_ENABLE	3:0	0-15	0-15	
001C	11	R/W	CHAN_BOND_SEQ_2_USE	0	FALSE	0	
					TRUE	1	
							
							
							
001C	6	R/W	CLK_COR_KEEP_IDLE	0	FALSE	0	
					TRUE	1	
							
							
001C	5:0	R/W	CLK_COR_MIN_LAT	5:0	3-63	3-63	
